Date	1	2	3	4	5	6	7	8	9	10	Spread	Cum1	Cum10	CumSprd
2019-01-31	5.032087954692729	4.033830424516502	4.1220198283001706	3.24921934262318	3.362703132316614	4.45791324915186	2.7134247072961606	2.840198207144881	5.149627278800312	5.22722609236628	-0.19513813767355082	1.0503208795469272	1.0522722609236628	0.9980486186232644
2019-02-28	-0.5372836398150472	1.1416151207348624	1.453955807491637	0.5693453494843372	-0.20451523861806148	0.2695105876920359	0.7279835608960801	0.04179143488835516	-0.1309088285608541	0.28896032454578224	-0.8262439643608295	1.0446776772955602	1.055312910263933	0.9898023021505031
2019-03-29	1.8695907936146097	2.497863664433536	2.163115123185728	3.3183014239228927	3.504988101987563	3.9162353816699333	4.98336579302479	5.211368359751035	3.6863702905929094	4.717505950620692	-2.847915157006082	1.064208874973225	1.1050973596033022	0.9616135723631638
2019-04-30	-6.439433929897458	-2.460281231713713	-3.828584558147	-4.457904405897897	-6.835151591961187	-5.467225905703346	-7.735889917159445	-8.21574972713181	-10.978048264243338	-12.694473520349662	6.2550395904522045	0.9956798475932193	0.9648110679143778	1.0217628820216413
2019-05-31	5.645733313914936	6.066110508951144	6.943397519580118	6.53505396288594	6.509103199457103	5.844323009234219	8.207424325691703	8.487240123007604	7.804714577951108	8.397042877748214	-2.7513095638332787	1.051893276448727	1.0458266669764085	0.9936510221288813
2019-06-28	1.4954448418100306	2.099179971541677	0.5981258122717648	1.0270063144999162	1.1279553724938605	1.606288511583104	1.5457251511833165	1.6073943742073302	-0.37706731028377033	-0.07803510137774754	1.5734799431877782	1.067623760192726	1.0450105550765978	1.0092859216673595
2019-07-31	-2.964081154612002	0.2137607992661246	-1.9751964282531145	-2.1189285201982946	-1.1889247869720867	-2.8255316777828536	-2.6853189507376376	-4.831337499279325	-8.523034771610641	-11.888089797915466	8.924008643303464	1.0359785255146936	0.920778761891397	1.0993546845525999
2019-08-30	-3.245183987146115	-0.8826755425735628	0.8573626819973551	2.557674437146083	3.0352653875121876	2.6985724810604523	2.568445283667643	4.838237824911279	5.201132843445048	6.192736254091146	-9.437920241237261	1.0023591162944183	0.977800162099017	0.99559846625622
2019-09-30	0.7845956623479918	-0.4949461148380545	1.6961161810053476	1.0266118843226153	1.2225124733903117	0.22562627252047082	0.9583871873783633	1.1846955680708844	0.8164082618121181	-0.4265584072979816	1.2111540696459735	1.0102235824420138	0.9736292733010103	1.0076566975976151
2019-10-31	3.4027057990399787	2.7033055219553725	2.576983742666442	2.9868257535622793	3.545676033266501	4.327641194317086	4.3040859806514495	3.684460151651138	4.589098124646164	3.2018833687833204	0.20082243025665836	1.0445985188650377	1.0048037470764415	1.0096802982663746
2019-11-29	2.2498916241242193	1.2533181440161991	1.286930972034186	1.365281482016289	2.256118592955185	1.538616056205336	2.8383736992597974	4.245215464311782	5.19289376069063	8.182106103072536	-5.9322144789483175	1.0681008534467078	1.0870178557898844	0.9497838974215282
2019-12-31	3.0250539976410873	1.2493361167170292	0.7779054773516164	-0.7768506697753345	-1.0884606028408605	-2.21017780535843	-2.379292253213699	-5.3116096268150335	-4.2316071897291945	-4.95982482564966	7.984878823290748	1.100411481012736	1.033103674319173	1.0256229907137655
